epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,20795.8,1.30887,1.23505,0.01121,0.67943,0.66756,0.70637,0.45692,1.21963,1.20092,0.01507,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,21430.2,1.30364,1.22937,0.01119,0.68407,0.66517,0.70575,0.45628,1.22151,1.20369,0.01504,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,22064.6,1.30042,1.22253,0.01113,0.68291,0.66969,0.7075,0.45808,1.21901,1.20339,0.01502,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,22698.7,1.29714,1.22352,0.01113,0.68249,0.67064,0.70848,0.45841,1.21714,1.20209,0.01499,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,23332.2,1.29669,1.2162,0.01113,0.68699,0.67101,0.71036,0.45971,1.21637,1.19498,0.01497,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,23965,1.29022,1.20618,0.01103,0.68742,0.67339,0.71191,0.46032,1.21694,1.19406,0.015,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,24598.7,1.29112,1.20733,0.01108,0.68603,0.67296,0.71104,0.45989,1.2166,1.19318,0.01495,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,25232.2,1.29018,1.21068,0.01114,0.68539,0.67519,0.71144,0.46101,1.21549,1.19235,0.01493,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,25866.1,1.2848,1.19262,0.01097,0.6876,0.6733,0.7113,0.46157,1.21709,1.18794,0.01496,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,26501,1.29334,1.19438,0.01102,0.69138,0.67133,0.71164,0.46189,1.21497,1.18607,0.01491,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,27136.1,1.28127,1.18462,0.01096,0.69099,0.67322,0.71157,0.46221,1.21321,1.18673,0.01489,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,27770.2,1.28137,1.1912,0.011,0.6898,0.67359,0.71197,0.46271,1.21359,1.1854,0.01492,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,28406.7,1.28499,1.1773,0.01085,0.69107,0.67375,0.71178,0.46244,1.21519,1.18447,0.01495,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,29039.9,1.27661,1.17841,0.01096,0.6904,0.67502,0.71147,0.46231,1.21509,1.18691,0.01494,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,29673.4,1.27547,1.1755,0.01089,0.68905,0.67582,0.7112,0.46205,1.2154,1.18759,0.01495,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,30307.5,1.2736,1.16817,0.01086,0.68964,0.6738,0.71044,0.46163,1.21491,1.18924,0.01492,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,30941.5,1.27296,1.16305,0.01088,0.68926,0.67546,0.71026,0.4615,1.21438,1.1885,0.01492,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,31576.1,1.26913,1.16387,0.01075,0.69054,0.67387,0.70988,0.46156,1.2131,1.18854,0.01488,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,32211.4,1.27,1.15048,0.01075,0.69199,0.67291,0.71006,0.46139,1.21287,1.18738,0.01489,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,32845.8,1.26676,1.1583,0.01085,0.69168,0.67259,0.71027,0.46159,1.21213,1.18839,0.01487,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,33479.6,1.2677,1.15503,0.01084,0.69324,0.67132,0.70993,0.4614,1.21279,1.18869,0.01487,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,34112.9,1.26177,1.1456,0.01073,0.69471,0.6714,0.70998,0.4614,1.21239,1.18916,0.01487,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,34747.3,1.26044,1.14296,0.01072,0.69337,0.67067,0.70859,0.46098,1.21346,1.18866,0.0149,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,35380.9,1.25881,1.14389,0.01069,0.69167,0.67191,0.70805,0.46068,1.21325,1.19071,0.01488,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,36015.3,1.25435,1.13164,0.0106,0.69083,0.67269,0.70799,0.46074,1.2129,1.19072,0.01488,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,36650,1.25505,1.1325,0.01068,0.69109,0.67235,0.70796,0.46076,1.21208,1.19136,0.01486,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,37284.4,1.25327,1.12336,0.01062,0.69098,0.6722,0.708,0.46061,1.21175,1.19127,0.01486,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,37918.6,1.24749,1.11794,0.01053,0.6899,0.67327,0.70725,0.46013,1.21192,1.19146,0.01487,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,38552.7,1.24937,1.12721,0.01065,0.69017,0.67293,0.70701,0.46003,1.21187,1.19133,0.01486,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,39186,1.2414,1.11202,0.01061,0.6916,0.67162,0.70674,0.45982,1.21179,1.19119,0.01486,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,39820.6,1.24615,1.10911,0.01052,0.69191,0.67129,0.70706,0.46012,1.21178,1.19033,0.01486,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,40454.6,1.24056,1.10496,0.01051,0.68959,0.67405,0.70676,0.46001,1.21131,1.19051,0.01485,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,41089.7,1.24339,1.10715,0.01049,0.69058,0.67298,0.7061,0.45948,1.21047,1.19185,0.01483,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,41724.5,1.24322,1.10042,0.01047,0.692,0.67184,0.70624,0.45947,1.21089,1.1919,0.01486,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,42358.9,1.23407,1.09561,0.01051,0.69056,0.67334,0.70603,0.4594,1.2108,1.19158,0.01485,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,42993,1.23447,1.09531,0.01049,0.69158,0.67211,0.70556,0.459,1.21104,1.19148,0.01485,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,43627.2,1.23176,1.09124,0.01049,0.69153,0.67137,0.70518,0.4588,1.21132,1.19233,0.01486,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,44260.7,1.23369,1.0894,0.01045,0.69113,0.67121,0.7051,0.45876,1.21055,1.19318,0.01484,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,44894.7,1.22868,1.07816,0.01039,0.6904,0.67193,0.70484,0.45862,1.21046,1.19377,0.01483,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,45529,1.22492,1.07421,0.01036,0.69103,0.6712,0.70461,0.45865,1.21057,1.19456,0.01483,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,46163.2,1.22261,1.06326,0.01032,0.69059,0.67138,0.70417,0.45843,1.21109,1.19535,0.01483,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,46798.3,1.21744,1.05847,0.01022,0.68999,0.6711,0.70383,0.45801,1.21166,1.19542,0.01485,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
